X,Y,objectid,wri_id,mill_name_,latitude,longitude,iso,certificat,group_name
101.259199999692356,4.196999999925041,98,WRI_237,Kilang Minyak Sawit Ulu Basir,4.197,101.2592,MYS,None,Unknown
101.260999999841204,4.203999999665286,99,WRI_238,Syarikat Cahaya Muda Perak (Oil Mil) Sdn Bhd,4.204,101.261,MYS,None,Unknown
101.310099999859631,4.000200000689297,100,WRI_239,KKS Besout,4.0002,101.3101,MYS,None,Unknown
102.475399999667374,3.148600000659768,101,WRI_24,Cheekah Kemayan,3.1486,102.4754,MYS,None,Unknown
101.430099999902822,2.853600000769732,102,WRI_240,KKS Changkat Cermin,2.8536,101.4301,MYS,None,Unknown
101.282399999814473,4.109700000293663,103,WRI_241,KKS Yee Lee Palm Oil Industries S/B,4.1097,101.2824,MYS,None,Unknown
100.461699999760938,4.978699999685311,104,WRI_242,KKS Ladang Gula,4.9787,100.4617,MYS,None,Unknown
100.445199999743792,5.310799999856782,105,WRI_243,Kilang Kalapa Sawit Kalumpang,5.3108,100.4452,MYS,None,Unknown
101.300499999963989,3.30190000057552,106,WRI_245,Bukit Rotan Palm Oil Mills Sdn Bhd,3.3019,101.3005,MYS,None,Unknown
101.306899999594989,3.360399999765897,107,WRI_246,K.K.S Kampung Kuantan Bhd,3.3604,101.3069,MYS,None,Unknown
101.38769999998938,3.138599999197528,108,WRI_247,K.K.S Golconda,3.1386,101.3877,MYS,None,Unknown
101.474399999524252,3.435900000778255,109,WRI_248,Kilang Kelapa Sawit Minyak,3.4359,101.4744,MYS,None,Unknown
102.483899999921221,2.985499999654907,110,WRI_25,Prosper Palm Oil Mill,2.9855,102.4839,MYS,None,Unknown
101.659199999536881,2.852699999774629,111,WRI_251,Seri Ulu Langat Palm Oil Sdn Bhd,2.8527,101.6592,MYS,None,Unknown
103.067599999238226,4.990599999959723,112,WRI_252,K.K.S Jerangau Barat,4.9906,103.0676,MYS,None,Unknown
102.019400000581257,-0.584699999780273,113,WRI_662,PERANAP,-0.5847,102.0194,IDN,None,Unknown
118.14050000033474,4.405499999920306,123,WRI_264,KKS SUNGAI BURUNG,4.4055,118.1405,MYS,None,Unknown
117.226400000641348,5.555299999299121,124,WRI_266,MAYVIN,5.5553,117.2264,MYS,None,Unknown
117.854300000020658,5.900300000648482,125,WRI_268,NAK PALM OIL MILL,5.9003,117.8543,MYS,None,Unknown
118.122200000168718,5.651600000086761,126,WRI_269,SEPAGAYA PALM OIL MILL,5.6516,118.1222,MYS,None,Unknown
101.959100000534875,2.592499999556189,127,WRI_27,Gan Teng Siew Realty,2.5925,101.9591,MYS,None,Unknown
